Objective;Wavelength;Zoom;ETL-Left-Offset;ETL-Left-Amp;ETL-Right-Offset;ETL-Right-Amp
1x;405 nm;0.63x;2.4900000000000038;0.6950000000000021;2.655999999999999;1.2649999999999966
1x;405 nm;0.8x;2.4950000000000037;0.7649999999999995;2.6500000000000004;0.725
1x;405 nm;1x;2.4900000000000038;0.61;2.6550000000000002;0.5949999999999999
1x;405 nm;1.25x;2.418000000000004;0.6830000000000002;2.6609999999999996;0.5439999999999998
1x;405 nm;1.6x;2.465999999999994;0.43899999999999995;2.687999999999999;0.42499999999999993
1x;405 nm;2x;2.498999999999993;0.2859999999999996;2.6669999999999994;0.312
1x;405 nm;2.5x;2.4839999999999955;0.2900000000000001;2.667;0.20799999999999985
1x;405 nm;3.2x;2.4809999999999928;0.243;2.67;0.21900000000000014
1x;405 nm;4x;2.512999999999999;0.197;2.67;0.25
1x;405 nm;5x;2.486999999999993;0.17800000000000007;2.6850000000000005;0.2
1x;405 nm;6.3x;2.67;0.25;2.677999999999998;0.058999999999999886
1x;488 nm;0.63x;2.336000000000007;1.3;2.5560000000000027;1.24
1x;488 nm;0.8x;2.334000000000004;0.942;2.5919999999999996;0.936
1x;488 nm;1x;2.326;0.8700000000000001;2.113;0.9240000000000002
1x;488 nm;1.25x;2.3960000000000017;0.692;2.5759999999999974;0.6260000000000001
1x;488 nm;1.6x;2.3880000000000026;0.524;2.547999999999999;0.449
1x;488 nm;2x;2.327;0.435;2.112;0.547
1x;488 nm;2.5x;2.327;0.34900000000000003;2.113;0.414
1x;488 nm;3.2x;2.327;0.258;2.113;0.332
1x;488 nm;4x;2.327;0.19;2.113;0.236
1x;488 nm;5x;2.327;0.158;2.113;0.197
1x;488 nm;6.3x;2.327;0.13;2.113;0.17
1x;515 nm;0.63x;2.422999999999997;1.123;2.4930000000000025;1.1460000000000001
1x;515 nm;0.8x;2.3970000000000007;0.81;2.571999999999999;0.8360000000000001
1x;515 nm;1x;2.3919999999999986;0.782;2.4500000000000024;0.702
1x;515 nm;1.25x;2.396999999999999;0.7190000000000001;2.5840000000000014;0.5319999999999998
1x;515 nm;1.6x;2.3340000000000067;0.41400000000000003;2.58899999999999;0.45099999999999996
1x;515 nm;2x;2.3899999999999992;0.388;2.584;0.392
1x;515 nm;2.5x;2.3920000000000075;0.317;2.59199999999999;0.26199999999999996
1x;515 nm;3.2x;2.3910000000000076;0.20499999999999974;2.58999999999999;0.174
1x;515 nm;4x;2.388;0.219;2.596999999999998;0.17100000000000004
1x;515 nm;5x;2.3920000000000075;0.16799999999999998;2.59499999999999;0.12599999999999997
1x;515 nm;6.3x;2.389000000000008;0.12300000000000003;2.59299999999999;0.09399999999999992
1x;561 nm;0.63x;2.361;1.086;2.579000000000002;1.107999999999997
1x;561 nm;0.8x;2.3620000000000014;0.87;2.547;0.75
1x;561 nm;1x;2.326;0.7300000000000002;2.12;0.7300000000000002
1x;561 nm;1.25x;2.3959999999999995;0.688;2.5409999999999955;0.586
1x;561 nm;1.6x;2.3800000000000017;0.584;2.628999999999992;0.472
1x;561 nm;2x;2.3259999999999774;0.42999999999999994;2.119999999999998;0.512
1x;561 nm;2.5x;2.326;0.33799999999999997;2.12;0.40800000000000003
1x;561 nm;3.2x;2.326;0.26;2.12;0.32800000000000007
1x;561 nm;4x;2.326;0.20799999999999996;2.12;0.23600000000000004
1x;561 nm;5x;2.326;0.16600000000000004;2.12;0.178
1x;561 nm;6.3x;2.326;0.12799999999999997;2.12;0.16800000000000004
1x;594 nm;0.63x;2.307999999999999;1.314;2.492000000000001;1.14
1x;594 nm;0.8x;2.4180000000000015;1.12;2.537;0.78
1x;594 nm;1x;2.100000000000005;0.7740000000000006;2.0070000000000077;1.0060000000000007
1x;594 nm;1.25x;2.403000000000002;0.6150000000000002;2.5949999999999984;0.5299999999999999
1x;594 nm;1.6x;2.4080000000000017;0.44000000000000006;2.5999999999999983;0.35999999999999976
1x;594 nm;2x;2.109000000000025;0.4540000000000003;2.030000000000008;0.5260000000000004
1x;594 nm;2.5x;2.3160000000000935;0.3040000000000002;2.1080000000000543;0.3980000000000003
1x;594 nm;3.2x;2.4040000000000084;0.23799999999999957;2.6029999999999998;0.21500000000000002
1x;594 nm;4x;2.3350000000000013;0.31000000000000005;2.1060000000000105;0.16000000000000003
1x;594 nm;5x;2.4010000000000065;0.14399999999999996;2.6039999999999934;0.12999999999999998
1x;594 nm;6.3x;2.401000000000008;0.13800000000000004;2.5999999999999908;0.09199999999999992
1x;647 nm;0.63x;2.379000000000006;1.344;2.5710000000000024;1.224
1x;647 nm;0.8x;2.423000000000008;0.9560000000000002;2.6049999999999938;1.018
1x;647 nm;1x;2.233000000000001;0.7320000000000005;2.1159999999999997;0.8380000000000005
1x;647 nm;1.25x;2.423000000000008;0.6479999999999999;2.6029999999999927;0.582
1x;647 nm;1.6x;2.4210000000000083;0.5359999999999999;2.6129999999999955;0.4299999999999998
1x;647 nm;2x;2.317;0.4440000000000003;2.114;0.5720000000000004
1x;647 nm;2.5x;2.317000000000004;0.3300000000000002;2.114;0.4620000000000003
1x;647 nm;3.2x;2.317000000000005;0.2400000000000001;2.114;0.3640000000000002
1x;647 nm;4x;2.317;0.18;2.114;0.296
1x;647 nm;5x;2.317000000000004;0.1600000000000001;2.1140000000000008;0.21800000000000008
1x;647 nm;6.3x;2.317;0.10799999999999993;2.114;0.18400000000000005
